"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Coca-Cola Beverages Singapore, Malaysia & Brunei","Many of our employees will tell you, there’s something special about the Coca-Cola as a company. There’s a sense of pride that comes from building brands that people love and making the most of ourselves as a company and as individuals.

We have embarked on a new journey of growth, building on our most formidable assets: our brands as well as our unrivaled distribution system and the strong commitment of our management and employees. 

Coca-Cola Beverages Singapore, Malaysia & Brunei is a place where you can make a positive mark on the world. Whether through our sustainability initiatives, human rights work or the ripple economic impact each person creates by simply doing their job well, there are endless opportunities to build shareholder value and make an impactful contribution to many communities.

While we’ve started our journey, it’s not just ours, it can be yours as well.","Manufacturing","501-1,000 employees","Privately Held","Kuala Lumpur & Singapore","Singapore","coca-cola.com.my","https://www.linkedin.com/company/cocacolasima"
,"Secretlab","The planet’s best ergonomic gaming chairs. We started Secretlab in 2014 to create a chair that could keep even the most demanding esports professionals comfortable for over 12 hours a day.

Today, Secretlab has evolved into so much more. There is a Secretlab chair in the homes of over 3 million users — and we are the chair of choice of gamers and creators worldwide. From top esports athletes to work-from-home professionals, our award-winning chairs and desks are made for anyone who spends long hours seated every day.

Purposefully designed to support you across multiple postures as you move about your day, the Secretlab TITAN Evo and Secretlab MAGNUS desks are engineered to keep you feeling at your best.","Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","secretlab.co","https://www.linkedin.com/company/secretlabsgpteltd"
,"Daikin Airconditioning (Singapore) Pte. Ltd.","At Daikin Singapore, we discover something new every day. “Perfecting The Air”, is our commitment and we strive to identify opportunities and seek solutions to make the air cleaner, healthier and more comfortable. As the only Japanese aircon specialist, Daikin applies cutting-edge technologies to enhance indoor air quality, providing the comfort of sophisticated air conditioning systems to thousands of Singaporeans’ homes as well as for commercial and industrial needs. 

Established in 1968, Daikin has grown with Singapore to achieve many milestones. Daikin was the first to introduce multi-spilt air-conditioning systems when the Housing and Development Board (HDB) was paving the way to house Singaporeans of growing affluence. As businesses boomed, Daikin introduced the world’s first super-efficient VRV Systems for commercial buildings in 1986. 

Recently, Daikin acquired BMS Engineering & Trading Pte Ltd with the aim to play a greater role in being one of the leading Systems Integrator of Building Management Systems, Integrated Facilities Management systems and Energy Efficiency Solutions in the region. Daikin offers comprehensive proposals for building-wide facilities and contracting services focused on cost reduction and service quality improvement. 

In line with Singapore’s green movement, Daikin recognises our role to reduce carbon footprints and promote eco-friendly air conditioning products and green building solutions. In 2020, Daikin partnered SP Group to provide Singapore’s first large-scale residential Centralised Cooling System at Tengah, a sustainable housing estate project of the future. Daikin is the only aircon manufacturer in the world to produce both air conditioning equipment and refrigerant. We are committed to reducing greenhouse emissions throughout the entire product life cycle, doing our best to lower the environmental impact of air conditioning. This is evident through the launch of eco-friendlier air conditioners using R32 refrigerant.","Appliances, Electrical, and Electronics Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","daikin.com.sg","https://www.linkedin.com/company/daikinsg"
,"Clearpack Group","Clearpack is a leading provider of Automatic packaging solutions for Food, Beverage, Home and Personal care, Pharma and Chemical products. We are a 600+ people strong, stable, and well organised group with proven expertise in filling, end-of-line, and complete line engineering solutions. We are leading the industry with Best in Class Packaging Automation using Robotics, AGV’s, Digitalisation including factories of future with advanced technology systems.

With our network of offices, R&D and production facilities and a dedicated team of packaging professionals across South East Asia, India, China, Middle East, and Europe we deliver excellent value to our customers by:
•	Manufacturing & sales of Net Weight Filling and End of Line machines in our facilities in India and other locations
•	Distributing some packaging equipment from our global partners 
•	Providing total services from finalising the project specifications to Installation commissioning and after sales service & spare parts

We owe our success to our esteemed customers and our reliable partners, both inspiring us to deliver ""Customer Delight"" and not mere satisfaction. It is an endeavour we take very seriously.

We are providing mentioned below automatic packaging machines-
Automatic shrink wrapping machine
Automatic sticker labelling machine
Shrink bundling machines
Case packer/carton packaging
Robotic Palletizers
Complete turnkey line
Automation packaging solutions","Machinery Manufacturing","501-1,000 employees","Privately Held","Singapore","Singapore","clearpack.com","https://www.linkedin.com/company/clearpack-group"
,"UAP | Urban Art Projects","Incredible things don’t just happen; they’re created,  nurtured, believed in. Arts, culture, and creativity have  always played a vital role in bringing people together.  We continue this tradition with an enduring belief that  creativity can inspire incredible possibilities.

Established in 1993 by brothers Matt and Dan Tobin,  their modest Brisbane practice has evolved into a global art and design studio and workshop. Today, our network comprises three key studios  and facilities in New York, Brisbane and Shanghai, and seven worldwide satellite offices in Sydney, Melbourne,  Chengdu, Shenzhen, Singapore, Los Angeles and Riyadh.

From the design studio to the factory floor, we work across all aspects of the creative process, from  commissioning and curatorial services, concept development, and design assistance to engineering,  fabrication, and installation. With an ingrained culture of collaboration, our diverse team of creative specialists,  strategists and practitioners share an enduring vision  for the future.

By pairing exceptional strategies and manufacturing  capabilities with our team’s unrivalled dedication to  excellence, we ensure that our generation creates  timeless and relevant objects, ideas, and places that  will inspire and connect people for generations to  come. As a company, this is the common ground on  which we move forward.","Manufacturing","201-500 employees","Privately Held","Global - US, Australia, China, Singapore and the Middle East","Singapore","uapcompany.com","https://www.linkedin.com/company/urbanartprojects"
,"PanBlast","Recognizing that the global blast cleaning industry had a requirement for a world class supply chain partner, PanBlast has evolved over the years with workflow management systems, good manufacturing practices and quality control processes, also known as ""Dynamic Manufacturing"". Products are sold globally via a multi-tier distribution sales model.","Industrial Machinery Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","panblast.com","https://www.linkedin.com/company/panblast"
,"HOPE Technik","HOPE Technik is a Singapore-proud engineering firm that has been evolving the industry landscape with its technological innovations since 2006. The company’s unique structure empowers each of its businesses to develop world-class products and prototype innovative solutions for its global clients. Regardless of how unusual a project may be, HOPE Technik’s dedicated team of qualified engineers and technical staff are committed to translate concepts into reality.

See our community guidelines here: https://bit.ly/31OXD7G","Industrial Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","hopetechnik.com","https://www.linkedin.com/company/hope-technik"
,"Mitsubishi Heavy Industries Engine System Asia (MHI-ESA)","We are a part of Mitsubishi Heavy Industries Group, the Asia-Pacific and Oceania Headquarter, sharing its global commitment to using technology and engineering to be a leading producer of quality engine & generator set products. 

We are committed to earning the trust of our customers by offering an experience of reliability. Working closely with our broad network of advanced partners, we diligently apply our expert approach to creating excellent products, and practical solutions. Using the power of collaboration to help support sustainable societies.

Our brand is powered by the following four values;
- Brand Reliability
- Product Quality
- Advanced Partnerships
- A Global Reach

This is what it takes to move the world forward.","Industrial Machinery Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","mhiesa.com","https://www.linkedin.com/company/mitsubishi-heavy-industries-engine-system-asia"
,"Hakko Products","Hakko Products Pte Ltd delivers high-quality soldering equipment and solutions to our customers in Singapore, Malaysia, Indonesia, Thailand, Philippines and Vietnam. Our wide range of soldering stations, irons, desoldering and rework tools as well as related equipment and accessories means there's something for everyone, whether it is a simple hobby, or a large scale production line, for beginners to experts.

As an ISO 9001 certified company, Hakko Products Pte Ltd is committed to delivering high quality products, premium after-sales maintenance services, and detailed technical training to optimize the performance of your production line.","Appliances, Electrical, and Electronics Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","hakko.com.sg","https://www.linkedin.com/company/hakko-products"
,"PCS Pte. Ltd.","PCS Pte. Ltd (PCS) is the upstream company of the S$5.4 billion Singapore Essential Chemicals Complex on Jurong Island, the premier hub of Singapore's Energy and Chemicals Park.  

PCS is recognised as a leading producer of ethylene and propylene, and other by-products in the region.  
The capacities of our two crackers total more than 1 million tonnes per year of ethylene, and more than 600,000 tonnes per year of propylene.  We also produce acetylene, butadiene, 1-butene, MTBE, benzene, toluene and xylene.","Chemical Manufacturing","201-500 employees","Privately Held","SINGAPORE","Singapore","pcs.com.sg","https://www.linkedin.com/company/pcs-pte-ltd"
