"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"IRVINS","IRVINS is a high-growth homegrown consumer food brand expanding quickly on the global stage, with 5 offices and 12 markets worldwide, and a product lineup that redefines the food industry.

Founded in 2008, over the years we have pivoted and evolved from an F&B restaurant into a modern food CPG startup. With IRVINS’ global reach, category and market leadership, and startup mentality, we welcome people with a builder attitude keen on building things from scratch and help turn a homegrown brand into Singapore’s iconic global consumer brand.","Food and Beverage Manufacturing","201-500 employees","Privately Held","Singapore, Singapore","Singapore","eatirvins.sg","https://www.linkedin.com/company/irvinsaltedegg"
,"Food Industry Asia (FIA)","FIA was founded in July 2010 by a group of leading food and beverage companies. From our base in Singapore, we seek to enhance the industry’s role as a trusted partner in the development of science-based policy throughout the region.

FIA provides an important hub for advocacy and debate. We bring together the food industry’s most senior business leaders to champion initiatives that promote sustainable growth and support regional policies that deliver harmonised results.

Our members share common values on food safety, international competitiveness and the delivery of public health outcomes that are relevant to their products. Together, we lend support to local industry groups in the region and reach out to stakeholders who share our common vision.

At the heart of FIA’s philosophy lies a belief that the private sector can play a more positive role in civil society if it has a seat at the table. To this end, FIA is committed to building relationships with governments and policy makers – either directly or through existing local industry groups.","Food & Beverages","11-50 employees","Non Profit","Singapore","Singapore","foodindustry.asia","https://www.linkedin.com/company/food-industry-asia"
,"JERA Global Markets","JERA Global Markets (JERAGM) is a leading utility-backed energy trader specialising in LNG, power, coal and freight. A joint venture between majority shareholder JERA Co., Inc. and EDF Trading, JERAGM’s shareholders are among the world’s major utilities. 

JERAGM operates one of the most exciting energy portfolios in the world which gives it an in-depth understanding of the way local, regional and international energy markets behave. These insights enable it to help its customers increase security of supply, optimise their portfolios and improve the risk management of their assets.

Headquartered in Singapore, JERAGM has a global talent pool of about 400 people across offices located in five strategic locations: Singapore, the UK (London), Japan (Tokyo), the US (Houston) and Australia (Brisbane). 

JERAGM is strongly capitalised with over US$500 million in paid up capital and a total equity of US$4 billion. JERAGM has been affirmed an AA- Stable credit rating from R&I (upgraded from A+ Stable in October 2024), attributable to a robust business model and solid financial base.","Wholesale","201-500 employees","Privately Held","Singapore","Singapore","jeragm.com","https://www.linkedin.com/company/jera-global-markets"
,"HARIBO Asia Pacific Pte. Ltd.","As the No. 1 fruit gum brand with more than 7,000 employees in 26 countries, we focus on top quality and the unique team spirit of the HARIBO Family. Practical experience, pleasure and job security make us a top employer. All over the world, our employees live their brand joy and drive HARIBO forward everyday. We have been supporting them since 1920 with trust, courage to pragmatism and focus. As part of the HARIBO Family, you benefit from freedom, responsibility and the opportunity to grow as a team with our global brand over the long term. Almost 100 years of experience and our very own success aromas enable you varied and challenging tasks. An international but still familiar working environment creates the perfect mix for a broad network and individual development. Become a valued member of the HARIBO Family - and get ready for a long-term career-path. Experience the success mix of practice and quality - let’s work together to make the world even more colorful!","Manufacturing","11-50 employees","Privately Held","Singapore","Singapore","haribo.com","https://www.linkedin.com/company/haribo-singapore"
,"BSH Home Appliances ASEAN","We are home to both globally established Appliance Brands[1], such as Bosch, Siemens, and Gaggenau, as well as seven other equally exceptional brands, such as Neff and Thermador. With our Ecosystem Brand Home Connect and Service Brands such as Simply Yummy and BlueMovement, we offer consumers digital services and sustainable solutions to improve their daily lives.

Founded in 1967, BSH was established as a joint venture between Robert Bosch GmbH (Stuttgart) and Siemens AG (Munich). BSH has been under the sole ownership of Bosch Group since January 2015. 

In its over 50 years of history, BSH has grown from a German exporter into one of the world's leading home appliance manufacturers. 

[1] BSH is a Trademark Licensee of Robert Bosch GmbH and Siemens AG for the brands Bosch and Siemens.

Local BSH locations participate in global DEI programs to the extent compliant with local law.

Data Protection Information: https://www.bsh-group.com/data-protection-information
Our Netiquette: https://www.bsh-group.com/bsh-social-media-netiquette?fbclid=IwAR3W9AfRHl1c4UjRFSviX4YcR3J9EwtXXBoCB-XzXE7NZHfcUgnYYo9mgyU","Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","bsh-group.asia","https://www.linkedin.com/company/bsh-home-appliances-asean"
,"Mandom Corporation Singapore","Founded in 1927, Mandom Corporation Japan is a manufacturer and distributor of consumer products. To expand its global footprint, the company set its sights on countries such as Hong Kong, Thailand, Malaysia and Singapore.

From hair wax, cosmetics to shampoo, there is something for everyone to meet their daily needs. Some of the brands Mandom carries are: GATSBY, LUCIDO-L, Moist Diane and Heroine Make. 

Mandom Corporation prides itself as a human orientated company, with its key focus on Oyakudachi (dedication to service). The company is constantly seeking ways to improve consumers' lives with suitable products, which is made possible through years of research and development.","Manufacturing","11-50 employees","Privately Held","SINGAPORE","Singapore","mandom.co.jp","https://www.linkedin.com/company/mandomcorporationsingapore"
,"PS.Gourmet Pte. Ltd.","PS.Cafe started from humble beginnings in 1999 as a cosy cafe hidden within Projectshop clothing store. This charming and understated spot quickly gained a following for its hearty takes on savoury cafe classics, famous truffle shoestring fries and indulgent cakes, puddings and tarts.

Today, the PS.Gourmet Group has 13 outlets in Singapore; 10 PS.Cafe outlets, the anglo-chinese concept Chopsuey Cafe and two contemporary Japanese restaurant Jypsy. The group also expanded internationally through its first overseas outpost in Shanghai in 2019 and now has three PS.Cafe sites in China.

Thoughtfully detailed interiors and lush surroundings, coupled with friendly relaxed service and generous portions, have made this homegrown Singapore brand an iconic and internationally recognised local favourite.

Visit www.pscafe.com to find out more!","Food & Beverages","201-500 employees","Privately Held","Singapore, Singapore","Singapore","pscafe.com","https://www.linkedin.com/company/projectshop"
,"Foodsta Kitchens","Mission

Building food connections. All day, everyday.

 

About

Headquartered in Singapore, Foodsta Kitchens is a digital first restaurant company with operations in Singapore and India. We craft and operate food concepts through restaurants that satisfy your dine-in expectations as well as convenient deliveries that provide tasty meals at home or wherever you might be!

 

By being digital first, we embrace data, technology and automation to reinvent the way restaurants operate. This mindset is embedded in our brand identity, process and product innovation, and always with our customers’ expectations as our focus.  

 

With this philosophy, we’re able to then create the hottest and most savoured meals out of the best quality ingredients, while making sure our customers do not have to break the bank.

After all, we’re all foodies at heart.","Food & Beverages","51-200 employees","Privately Held","Bukit Timah","Singapore","foodstakitchens.com","https://www.linkedin.com/company/wearefoodstakitchens"
,"Country Foods","Our Purpose 
— Connect and Create a Better World through Food 

Our Vision
— To be a global leader that feeds and delights communities through integrated food solutions

Our Mission
— To deliver safe, affordable, quality and tasty food through innovation, sustainable efforts, partnerships and a resilient supply chain","Food and Beverage Manufacturing","201-500 employees","Public Company","Singapore","Singapore","countryfoods.com","https://www.linkedin.com/company/countryfoods"
,"Tee Yih Jia Food Manufacturing Pte Ltd","Tee Yih Jia Food Manufacturing Pte Ltd is the leading frozen food manufacturer in Singapore, exporting more than 90% of its renowned Spring Home products to countries such as Europe, North America, South Africa, Middle East and Asia Pacific.  

Having achieved top spot in Singapore’s prestigious Enterprise 50 Awards in 2000, Tee Yih Jia’s flagship brand “Spring Home”, which won the Singapore Promising Brand Award amongst regional brands in 2007, is known the world over for its extensive range of frozen convenience food products such as spring roll pastry, roti paratha, Indian samosa, crepes, glutinous rice balls, and cocktail prawn rolls, just to name a few. Its brand portfolio has also expanded to other complementary brands such as “Happy Belly” and “Master Chef” targeted at specific niche markets.

As a Singapore International Company, Tee Yih Jia has world-class manufacturing facilities in Singapore, Malaysia, China and the United States, which hold international certifications of quality controls and hygiene such as HACCP and BRC.","Food Production","201-500 employees","Privately Held","Singapore","Singapore","tyjfood.com","https://www.linkedin.com/company/tee-yih-jia-food-manufacturing-pte-ltd"
