company_name,member_type,address,registration,member_id,profile_url,source,scraped_date
A PLUS ENGRG & SERVICES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,49,https://www.scal.com.sg/memberlisting-details/49-a-plus-engrg-services-pte-ltd,SCAL Member Directory,2026-01-14
A R LINK SERVICES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4664,https://www.scal.com.sg/memberlisting-details/4664-a-r-link-services-pte-ltd,SCAL Member Directory,2026-01-14
A STOP SOLUTION,SLOTS,"10 Tannery Lane, Singapore 347773",,4297,https://www.scal.com.sg/memberlisting-details/4297-a-stop-solution,SCAL Member Directory,2026-01-14
A&B SCAFFOLD ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4292,https://www.scal.com.sg/memberlisting-details/4292-ab-scaffold-engineering-pte-ltd,SCAL Member Directory,2026-01-14
A&F DESIGN PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6105,https://www.scal.com.sg/memberlisting-details/6105-af-design-pte-ltd,SCAL Member Directory,2026-01-14
A&S SERVICE ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4298,https://www.scal.com.sg/memberlisting-details/4298-as-service-engineering-pte-ltd,SCAL Member Directory,2026-01-14
A&V ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5470,https://www.scal.com.sg/memberlisting-details/5470-av-engineering-pte-ltd,SCAL Member Directory,2026-01-14
A&W SINGAPORE PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6962,https://www.scal.com.sg/memberlisting-details/6962-aw-singapore-pte-ltd,SCAL Member Directory,2026-01-14
A.H.M ENGINEERING & CONSTRUCTION PTE LTD.,SLOTS,"10 Tannery Lane, Singapore 347773",,7725,https://www.scal.com.sg/memberlisting-details/7725-ahm-engineering-construction-pte-ltd,SCAL Member Directory,2026-01-14
A.M.A TECHNOLOGIES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7201,https://www.scal.com.sg/memberlisting-details/7201-ama-technologies-pte-ltd,SCAL Member Directory,2026-01-14
A1 PARTITION FAMILY,SLOTS,"10 Tannery Lane, Singapore 347773",,7662,https://www.scal.com.sg/memberlisting-details/7662-a1-partition-family,SCAL Member Directory,2026-01-14
A1 PARTITION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7952,https://www.scal.com.sg/memberlisting-details/7952-a1-partition-pte-ltd,SCAL Member Directory,2026-01-14
AACON PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,3170,https://www.scal.com.sg/memberlisting-details/3170-aacon-pte-ltd,SCAL Member Directory,2026-01-14
AAL ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5701,https://www.scal.com.sg/memberlisting-details/5701-aal-engineering-pte-ltd,SCAL Member Directory,2026-01-14
ABB PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6945,https://www.scal.com.sg/memberlisting-details/6945-abb-pte-ltd,SCAL Member Directory,2026-01-14
ABELL ENG PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4301,https://www.scal.com.sg/memberlisting-details/4301-abell-eng-pte-ltd,SCAL Member Directory,2026-01-14
ABLE FIRE CONTROL PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4302,https://www.scal.com.sg/memberlisting-details/4302-able-fire-control-pte-ltd,SCAL Member Directory,2026-01-14
