"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Tradeasia International","Tradeasia International Pte. Ltd is a privately owned, independent company headquartered in Singapore. Tradeasia International was first established in 2004 with the sole intention of carrying out chemical distribution services especially to commodity industries in many parts of the world. Tradeasia International provides excellent connectivity with the emerging markets and firmly believe in timely and perfectly managed procurement services. Tradeasia International offers supply chain management service, inbound/outbound logistics and chemical products consulting. At Tradeasia International, the services are always client based and tailored to the needs and desires of each customer.

Tradeasia International now operates in 12 regional offices and represents a growing number of businesses that are serving a variety of markets. Tradeasia International sources and supplies about 500-600 containers monthly to its customers worldwide.","Wholesale Import and Export","201-500 employees","Privately Held","Singapore","Singapore","chemtradeasia.com","https://www.linkedin.com/company/tradeasia-international"
,"FY Group","Established in 2009, 𝐅𝐘 𝐆𝐫𝐨𝐮𝐩 is a leading omnichannel enterprise in the specialty retail, F&B, wines, spirits and tobacco industries. The Company's business portfolio incorporates a wide spectrum of products and services, covering international distribution to brand ownership of wines and spirits.

Collectively as a group, FY's business coverage and network has grown rapidly in recent years across Asia and Europe; including Shanghai, Hong Kong, Malaysia, Germany and Italy. This is further reinforced by its established partnership network covering Vietnam, Australia and New Zealand. 

𝑶𝒖𝒓 𝑽𝒊𝒔𝒊𝒐𝒏
To be the market leader for the distribution and specialty retail industries in Asia Pacific. We strive to become the preferred partner in Global FMCG; with a focus in the luxury segment, delivering high quality pieces and unique engagement experience.

𝑶𝒖𝒓 𝑽𝒂𝒍𝒖𝒆𝒔
We are passionate and committed- We are devoted to the work we do and would always put in 100% effort, going beyond boundaries to achieve desired results.

We are resourceful- We pride ourselves in being able to strategically anticipate business trends and opportunities through our extensive efforts in market analysis. We also partner the best in various industries to leverage on internal and external expertises.

We are reliable- We strongly believe in developing mutually beneficial long-term relationship with our stakeholders. We achieve this through the best-in-class products and services we provide.

We are honest- Integrity forms the foundation of our business and the way we operate. We upkeep high level of integrity through:
• Practising open communication with all stakeholders

• Adopting a stringent set of code of ethics, applicable to all stakeholders

• Managing all risks in the supply and logistics chain by working closely with our partners, minimising exposure. A rigorous compliance and operations team ensures the highest standards are attained, with precise accuracy.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","fygroup.com.sg","https://www.linkedin.com/company/fyg-sg"
,"ROYAL NUTS PTE LTD","We are a Commodity trading & Manufacturing Company with our HQ in Singapore. We have a presence in India, Vietnam, East & West Africa. 
We consider ourselves to operate under the highest of standard and integrity with over 3 decades of experience in Procurement, Food Manufacturing & export.","Wholesale Import and Export","201-500 employees","Privately Held","Singapore, Singapore","Singapore","royalnuts.sg","https://www.linkedin.com/company/royalnutsoriginal"
,"United Raw Material Pte Ltd","United Raw Material Pte Ltd is a Singapore based trading company dealing in various kinds of Textile Raw Materials, Petrochemicals, Chemicals, Minerals & Agro products worldwide. We currently export to our customers in more than 32 countries worldwide.

United Raw Material Pte Ltd has trade facilities & LC bill discounting facilities with various banks in Singapore & can provide finances to buyers for their Import & Export trade.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","urmpl.com","https://www.linkedin.com/company/urmpl"
,"Transmed International Singapore","Transmed International Pte Ltd is one of the leading foodservice distributors, exporters and importers of superior quality food and non-food products. The organization was set up in the year 2008 in Singapore intending to offer FMCG products and innovative consolidation solutions to its clients all over the world. Specialised in developing customised Labels based on the client’s request, we at Transmed pride ourselves on offering an exceptional blend of premium quality food ingredients and value-added services to our valued clients over the years. 

We offer the finest range of premium products including Dry, chilled and frozen catering to the needs of the FMCG service, retail and wholesale markets at the best prices. Transmed pride itself on being a leading supply partner to most of the five-star hotels, dining restaurants, catering companies, bakeries, ship chandling, airlines, cruise lines, hospitals worldwide. 

With years of dedication, fine touch of service and diverse international brand portfolio along with 25,000+ products, today Transmed Group is well represented in Singapore and became a well-known name in the neighbouring countries like Malaysia, Indonesia, Vietnam, China and most of the South East Asia Markets.","Wholesale Import and Export","51-200 employees","Privately Held","31 Cantonment Road, Singapore","Singapore","transmed.com.sg","https://www.linkedin.com/company/transmed-international-singapore"
,"JAGUAR RESOURCES & CAPITAL PTE. LTD.","We are a global leader in the trading of recyclable metals—both ferrous and non-ferrous—delivering over 800,000 metric tons of containerized recyclables annually across Asia. Headquartered in Singapore, with strategic offices in the UK and India, we specialize in sourcing high-quality scrap directly from yards and supplying to more than 30 countries worldwide.

We advance the circular economy by seamlessly connecting scrapyards, processors, mills, and industrial partners in a closed-loop system for recycled metals. Committed to sustainability, we deliver precise, end-to-end execution for our global partners—ensuring efficiency, reliability, and environmental impact at every step.","Wholesale Import and Export","51-200 employees","Privately Held","Marina Bay Financial Center, Central Region","Singapore","jaguarresourcescapital.com","https://www.linkedin.com/company/jaguar-resources-capital-pte-ltd"
,"JAGUAR STEEL & COAL PTE LTD","Built for trade, trusted worldwide 

A global leader in scrap metal trading and logistics, delivering over 800,000 MT of containerised recyclables annually across Asia. Headquartered in Singapore with strategic offices in the UK and India, we specialise in sourcing high-quality ferrous and non-ferrous scrap directly from yards to 30+ countries.  

Known for our speed, precision, and commitment to sustainability, we ensure seamless end-to-end execution for partners worldwide.","Wholesale Import and Export","51-200 employees","Privately Held","Marina Bay Financial Center, Central Region","Singapore","jaguarsteelandcoal.com","https://www.linkedin.com/company/jaguar-steel-coal-pte-ltd"
,"Enerfo","Enerfo, established in 2010, has forged out a desire to provide value-added solutions in order to foster international trade. From humble beginnings, we have grown into a global trading company headquartered in Singapore. Today, we are a key player in supplying complete trade solutions from procurement, shipping, logistics and financing to the downstream distribution of various agricultural and energy commodities.

With operations across a multitude of countries and the ability to extract desirable results from the value chain, we have performed optimally to breakdown international trade barriers. The combination of a highly-experienced team and significant commercial activities between the West and Asia has allowed us to develop a solid platform, centered on strong logistics, structured financing and sound risk management skills. We continuously strive to secure high-quality products in our networks, create the best-in-class cost efficiency and meet our clients’ requirements.","Import and Export","51-200 employees","Privately Held","collyer","Singapore","enerfogroup.com","https://www.linkedin.com/company/enerfo"
,"Penanshin Group","Penanshin: Over a Decade of Excellence in Freight Forwarding

Established in 1998 in Singapore, Penanshin has proudly offered integrated freight forwarding services for more than 10 years.

With humble beginnings as a neutral NVOCC (Non-Vessel Operating Common Carrier) company, we've evolved into a key player in the Asia Pacific region. Our strategic presence spans 9 countries, including Singapore, Brunei, Cambodia, Malaysia, India, Indonesia, Philippines, Thailand, and Vietnam.

Throughout our journey, we've nurtured enduring partnerships with both valued customers and trusted industry associates. These partnerships bear testament to our commitment to excellence and our reputation as a premier provider of top-quality air, sea, and ground handling services.

Join us on our voyage of innovation and exceptional service in the world of logistics. Let's connect and explore the endless possibilities together! #FreightForwarding #Logistics #GlobalConnectivity","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","penanshin.com","https://www.linkedin.com/company/penanshin-group"
,"International Woodchip Corporation","International Woodchip Corporation (“IWC”) has been supplying and trading woodchips from various global origins since 2014. We source mainly from the Southern continents (LAM, SA, Oceania and SE Asia). Most of these woodchips are transported to Asia. The company now supplies close to 4 million bone-dry metric tonnes of wood chips (over 8 million green metric tonnes).","Import and Export","11-50 employees","Privately Held","Singapore, Singapore","Singapore","iwc-woodchips.com","https://www.linkedin.com/company/international-woodchip-corporation"
